,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of Movies,Votes,Gross
0,The Shawshank Redemption,1994,142,9.3,80,"2,418,382",$28.34M
1,The Godfather,1972,175,9.2,100,"1,672,597",$134.97M
2,Soorarai Pottru,2020,153,9.1,^^,"84,584",^^
3,Dara iz Jasenovca,2020,130,9,^^,"35,019",^^
4,The Dark Knight,2008,152,9,84,"2,375,787",$534.86M
5,The Godfather: Part II,1974,202,9,90,"1,161,666",$57.30M
6,12 Angry Men,1957,96,9,96,"712,504",$4.36M
7,The Lord of the Rings: The Return of the King,2003,201,8.9,94,"1,683,393",$377.85M
8,Pulp Fiction,1994,154,8.9,94,"1,876,632",$107.93M
9,Schindler's List,1993,195,8.9,94,"1,244,880",$96.90M
10,Inception,2010,148,8.8,74,"2,132,377",$292.58M
11,Fight Club,1999,139,8.8,66,"1,907,409",$37.03M
12,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"1,704,477",$315.54M
13,Forrest Gump,1994,142,8.8,82,"1,868,065",$330.25M
14,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"704,892",$6.10M
15,Drishyam 2,2021,152,8.7,^^,"28,238",^^
16,The Lord of the Rings: The Two Towers,2002,179,8.7,87,"1,521,996",$342.55M
17,The Matrix,1999,136,8.7,73,"1,723,511",$171.48M
18,Goodfellas,1990,146,8.7,90,"1,050,960",$46.84M
19,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,"1,186,136",$290.48M
20,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,"939,225",$112.00M
21,Gisaengchung,2019,132,8.6,96,"627,926",$53.37M
22,Interstellar,2014,169,8.6,74,"1,578,014",$188.02M
23,Cidade de Deus,2002,130,8.6,79,"713,094",$7.56M
24,Sen to Chihiro no kamikakushi,2001,125,8.6,96,"678,183",$10.06M
25,Saving Private Ryan,1998,169,8.6,91,"1,272,275",$216.54M
26,The Green Mile,1999,189,8.6,61,"1,182,690",$136.80M
27,La vita è bella,1997,116,8.6,59,"641,129",$57.60M
28,Se7en,1995,127,8.6,65,"1,489,207",$100.13M
29,The Silence of the Lambs,1991,118,8.6,85,"1,308,637",$130.74M
30,Star Wars,1977,121,8.6,90,"1,258,232",$322.74M
31,Seppuku,1962,133,8.6,85,"46,205",^^
32,Shichinin no samurai,1954,207,8.6,98,"323,399",$0.27M
33,It's a Wonderful Life,1946,130,8.6,89,"414,917",^^
34,Ratsasan,2018,170,8.5,^^,"31,955",^^
35,Whiplash,2014,106,8.5,88,"747,302",$13.09M
36,The Intouchables,2011,112,8.5,57,"784,353",$13.18M
37,The Prestige,2006,130,8.5,66,"1,225,116",$53.09M
38,The Departed,2006,151,8.5,85,"1,221,896",$132.38M
39,The Pianist,2002,150,8.5,85,"755,360",$32.57M
40,Gladiator,2000,155,8.5,67,"1,376,949",$187.71M
41,American History X,1998,119,8.5,62,"1,054,623",$6.72M
42,The Usual Suspects,1995,106,8.5,77,"1,013,538",$23.34M
43,Léon,1994,110,8.5,64,"1,063,992",$19.50M
44,The Lion King,1994,88,8.5,88,"968,456",$422.78M
45,Terminator 2: Judgment Day,1991,137,8.5,75,"1,017,805",$204.84M
46,Nuovo Cinema Paradiso,1988,155,8.5,80,"238,884",$11.99M
47,Hotaru no haka,1988,89,8.5,94,"246,001",^^
48,Back to the Future,1985,116,8.5,87,"1,091,593",$210.61M
49,Once Upon a Time in the West,1968,165,8.5,80,"309,456",$5.32M
50,Psycho,1960,109,8.5,97,"620,105",$32.00M
51,Pather Panchali,1955,125,8.5,^^,"26,435",$0.54M
52,Rear Window,1954,112,8.5,100,"455,655",$36.76M
53,Casablanca,1942,102,8.5,100,"533,541",$1.02M
54,Modern Times,1936,87,8.5,96,"224,323",$0.16M
55,City Lights,1931,87,8.5,99,"172,364",$0.02M
56,Hamilton,2020,160,8.4,90,"68,179",^^
57,Capharnaüm,2018,126,8.4,75,"70,933",$1.66M
58,Joker,2019,122,8.4,59,"1,023,375",$335.45M
59,Ayla: The Daughter of War,2017,125,8.4,^^,"36,101",^^
60,Vikram Vedha,2017,147,8.4,^^,"31,841",^^
61,Kimi no na wa.,2016,106,8.4,79,"214,478",$5.02M
62,Dangal,2016,161,8.4,^^,"166,366",$12.39M
63,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,"409,363",$190.24M
64,Avengers: Endgame,2019,181,8.4,78,"898,292",$858.37M
65,Avengers: Infinity War,2018,149,8.4,68,"893,536",$678.82M
66,Coco,I 2017,105,8.4,81,"415,387",$209.73M
67,Django Unchained,2012,165,8.4,81,"1,401,015",$162.81M
68,The Dark Knight Rises,2012,164,8.4,78,"1,555,612",$448.14M
69,3 Idiots,2009,170,8.4,67,"359,956",$6.53M
70,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117,8.4,75,"27,724",^^
71,Taare Zameen Par,2007,165,8.4,^^,"176,751",$1.22M
72,WALL·E,2008,98,8.4,95,"1,026,811",$223.81M
73,The Lives of Others,2006,137,8.4,89,"367,526",$11.29M
74,Oldeuboi,2003,101,8.4,77,"531,389",$0.71M
75,Memento,2000,113,8.4,80,"1,152,115",$25.54M
76,Mononoke-hime,1997,134,8.4,76,"355,963",$2.38M
77,Once Upon a Time in America,1984,229,8.4,^^,"320,676",$5.32M
78,Raiders of the Lost Ark,1981,115,8.4,85,"903,653",$248.16M
79,The Shining,1980,146,8.4,66,"925,400",$44.02M
80,Apocalypse Now,1979,147,8.4,94,"621,020",$83.47M
81,Alien,1979,117,8.4,89,"809,165",$78.90M
82,Tengoku to jigoku,1963,143,8.4,^^,"37,369",^^
83,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,"460,048",$0.28M
84,Witness for the Prosecution,1957,116,8.4,^^,"113,004",$8.18M
85,Paths of Glory,1957,88,8.4,90,"183,347",^^
86,Sunset Blvd.,1950,110,8.4,^^,"206,803",^^
87,The Great Dictator,1940,125,8.4,^^,"208,191",$0.29M
88,Chhichhore,2019,143,8.3,^^,"39,383",$0.90M
89,1917,2019,119,8.3,78,"471,385",$159.23M
90,Tumbbad,2018,104,8.3,^^,"33,945",^^
91,K.G.F: Chapter 1,2018,156,8.3,^^,"42,876",^^
92,Drishyam,2013,160,8.3,^^,"36,811",^^
93,Jagten,2012,115,8.3,77,"296,029",$0.69M
94,Jodaeiye Nader az Simin,2011,123,8.3,95,"226,824",$7.10M
95,Incendies,2010,131,8.3,80,"157,472",$6.86M
96,The Father,I 2020,97,8.3,88,"77,742",^^
97,Babam ve Oglum,2005,112,8.3,^^,"81,542",^^
98,Inglourious Basterds,2009,153,8.3,69,"1,309,165",$120.54M
99,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,"934,037",$34.40M
100,Le fabuleux destin d'Amélie Poulain,2001,122,8.3,69,"716,940",$33.23M
101,Snatch,2000,104,8.3,55,"799,570",$30.33M
102,Requiem for a Dream,2000,102,8.3,68,"784,806",$3.64M
